Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Copilot in Excel: Supercharge Your Productivity (2023),"Imagine being able to create sophisticated Excel spreadsheets and charts—and quickly glean insights for your stakeholders—using nothing more than a simple chat prompt. With Microsoft 365 Copilot, which brings the power of large language models (LLMs) to your favorite productivity apps, this can be your reality <em>today</em>. Join Jess Stratton as she shows beginners and experts alike how to use Copilot to radically simplify common Excel workflows.",Course,2025-05-20 13:12 UTC,N/A,false,N/A,
Managing Anxiety Triggers with Effective Techniques,"<p>Imagine you are having an anxious moment at work. Instead of letting yourself slip into old patterns of negative thoughts or self-criticisms, you can take a step back and try something new. Maybe move around, go out for lunch, drink some water—just don’t start doom scrolling. Emma Seppala is a lecturer at Yale, and in this course, she details techniques on how to manage anxiety. Emma explains that anxiety is telling you something, and by asking yourself ""what do you need?"" you can reclaim your power and energy. Check out this course to learn how to better deal with anxiety and stop subjecting yourself to self-destructive beliefs and behaviors. 
</p><p> 
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-04-15 17:27 UTC,N/A,false,N/A,
Product Management: Building a Product Strategy,"<p>Behind every successful product there is a clear strategic vision that takes both market and customer needs into account. Essentially, strategy is the set of choices a company makes in order to achieve its objectives. These choices include which products to develop, which market segments to focus on, how to differentiate, how to price, how to position, and more. Product leaders are the guardians of a company's strategy. While many people and teams can contribute to developing a strategy, product leaders need to articulate it and ensure that it's done in a way that is applicable for day-to-day decision-making. This course lays out how to develop an effective product strategy. Instructors Eldad Persky and Teg Grenager walk through a step-by-step process for creating a smart, thoughtful strategy, and explain how to build support for it. Plus, they go over how to maintain and implement your strategy.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/aha-product-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Aha!.</p>",Course,2021-04-30 17:41 UTC,N/A,false,N/A,
Making the Most of Conflict,"<p>Your team likely needs more conflict–not less. High-performing organizations require conflict to learn, grow, and achieve excellence. The problems arise when conflict is unhealthy: when we fail to understand and learn from each other. In this audio-only course, Liane Davey shares how to reap the rewards of conflict while minimizing its friction.</p>

<p>Liane Davey is known as “The Teamwork Doctor.” She has a PhD in Organizational Psychology and authored the New York Times bestselling book <i>The Good Fight: Use Productive Conflict to Get Your Team and Organization Back on Track</i>.</p>

<p>You’ll learn how to interrogate judgments to uncover valuable, actionable feedback. And to reframe intense emotions as clues pointing to deeply-held values. Liane also shares why facts don’t solve fights and a powerful approach for validation that works wonders to defuse tensions.
</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2024-07-12 14:16 UTC,N/A,false,N/A,
Engineering Product-Led Growth,"Learn how to strategically grow your business with a product-led approach—a shift from traditional sales-led growth models that helps a business focus itself around its key benefit to customers; their products themselves. Industry expert Esben Friis-Jensen shares the key tenets of a product-led strategy, and explains how to apply it to your particular organization and products, how to drive acquisition and conversion in a product-led environment, and the best ways to measure success at a product-led organization.",Course,2024-04-13 17:30 UTC,N/A,false,N/A,
Get What You Deserve at Work with LinkedIn Career Expert Andrew McCaskill,"Get answers to all of these questions (and more!) during a jam-packed deep dive with LinkedIn Career Expert Andrew McCaskill that will help take your career to the next level. Andrew will share actionable advice on how to maximize your career potential through negotiation, storytelling, and building your professional network. Leaning on his experience as a culture analyst, career expert, inclusion champion and marketing executive, he’ll share what it means to become ""The CEO of the Business of You” and how it can unlock new opportunities.

<br><br>Visit <a href=""http://linkedin.com/events"" target=""_blank""><b>linkedin.com/events</b></a> for more can’t-miss conversations featuring prominent leaders!",Course,2025-08-30 15:30 UTC,N/A,false,N/A,
Artificial Intelligence for Marketing,"<p>Artificial intelligence (AI) is changing the way that marketers are interacting with their customers. But how can you as a marketer take advantage of this technology without being a multibillion-dollar company? In this action-packed course from instructor Jim Sterne, learn how AI is reshaping marketing and how you can take advantage of new and innovative tools. Discover how AI works and how it can be used. Learn how AI different from machine learning and where machine learning can help. Plus, get onboarding tips for using technologies in AI, and learn how you can use these machines to the best of their ability.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Professional Certificate</a> from Microsoft.</p><p>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p><p><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-06-17 21:58 UTC,N/A,false,N/A,
Introduction to Azure AI Foundry: Exploring Services and Capabilities,"Discover the power of Azure AI Foundry. In this course from Learn-it Labs, instructor Walt Ritscher shows you how to make your web applications smarter and more efficient using advanced AI models and services. Explore what the Foundry is and where to find it, including hubs, projects, and the management center, along with how to use essential tools such as models, playgrounds, AI services, agents, code, and fine-tuning techniques. Find out how to locate, compare, and benchmark different models within the model catalog, and learn the steps to deploy them effectively. Walt shares tips for enhancing models using playgrounds by testing DALL-E models and chat models, and creating and editing simple prompt flows using the prompt flow editor and Python template code. This course is an ideal fit for web developers, data scientists, AI enthusiasts, and anyone interested in leveraging AI to elevate their application development skills.",Course,2025-04-21 15:42 UTC,N/A,false,N/A,
Interview Mistakes You Can’t Take Back,"Looking to excel in your next job interview? In this course, Brittany Hayles, an expert career and interview consultant, offers practical strategies to avoid common interview mistakes. Learn how to convey your alignment with company culture, structure your responses to stand out, and tackle personal questions intelligently. After this course, you'll be ready to shine in your next interview, leaving a lasting impression on future employers.",Course,2025-10-26 14:13 UTC,N/A,false,N/A,
Contracting for Consultants,"Contracts can be boring, frustrating, and intimidating. But when you run a consulting firm, the terms of the contract have a tremendous impact on the work you do, the money you make, and the risks you face. The more well-versed you are in what each section and clause of a contract is about, the more you can focus on doing great work instead of arguing over contract provisions. Mike Figliuolo, managing director at thoughtLEADERS, LLC, explains the different types of contracts, pricing and payment terms, warranties and liabilities, and insurance requirements. He also shows you how to define the scope of your projects and negotiate terms with clients.",Course,N/A,N/A,true,N/A,
"Think Faster, Talk Smarter: Master Impromptu Speaking","<p>Public speaking is a big fear for many people, but off-the-cuff speaking—when you’re put on the spot—can be just as nerve-wracking. Whether you’re asked to introduce yourself or someone else, making small talk, or just asked “What do you think,” giving feedback in the moment can cause even the most confident of us to crumble. In this audiobook summary, Matt Abrahams shares some key points from his book <i>Think Faster, Talk Smarter: How to Speak Successfully When You’re Put on the Spot</i>. Communication is critical to success in our personal and professional lives, yet too often we’re not prepared for the moments when we need to step up and shine. Join Matt in this course to get the guidance—and grit—to be a better-in-the-moment spontaneous communicator.
</p><p> 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-22 03:03 UTC,N/A,false,N/A,
Azure Functions for Developers,"In this course, learn how to use Azure Functions to develop applications. Instructor Rodrigo Díaz Concha covers the benefits of Azure Functions, hosting plans, and app service plans. Learn how to create and deploy function apps and how to develop, test, debug, and run event-driven code on your local computer, as well as in Visual Studio using .NET. Learn about triggers, bindings, and how to implement both in Azure Functions. Next, Rodrigo explains Blob storage and Cosmos DB. See how to use dependency injection for cleaner code. After that, Rodrigo explains how to deploy Azure Functions from the command-line interface (CLI) and from Visual Studio. Explore how to build and use Azure Durable Functions in your projects, then learn how to manage and secure Azure Functions with Key Vault.",Course,2024-11-11 17:15 UTC,N/A,false,N/A,
Advanced Lead Generation,"Join instructor Matt Heinz as he shows you how to hit your business goals with practical strategies designed to elevate the impact, sophistication, and results from demand generation programs. First, Matt covers tactics for developing goals and objectives, including a funnel model, as well as risk factors and pivot points. He then goes over how to define your target audience and understand what steps your prospects go through to evaluate, justify, and confirm purchase decisions. Matt demonstrates the steps to develop a campaign, including how to drive precise messages and offers throughout your demand generation programs. Once you’ve developed a campaign, you must execute the plan and follow up. Matt outlines playbook elements that you can introduce to your sales organization to increase efficiency and consistency in executing campaign plans, and then steps through how to support greater lead conversion by your sales teams.",Course,2022-07-11 19:14 UTC,N/A,false,N/A,
Crisis Communication,"Every organization needs to plan how to communicate internally and externally in the event of a crisis. In this course, business communication expert Laura Bergells walks you through the process of preparing your organization to communicate with employees, customers, suppliers, media, and the public at large. She'll cover identifying audiences, assembling a crisis response team, crafting an initial statement, and evaluating your response once the crisis has passed.",Course,N/A,N/A,true,N/A,
AI Agents for Product Leaders,"Welcome to AI Agents for Product Leaders. I'm Marily Nika, a Gen AI Product Leader with experience at Google and Meta. In this course, Marily Nika—a Gen AI Product Leader with experience at Google and Meta—dives into the process of building and integrating AI agents into products, from the initial concept to a successful launch. Learn how to create autonomous systems that truly enhance user experiences. Gain insights into the technical, strategic, and ethical aspects of developing AI agents. Explore how AI agents can be practically applied in product development, setting you up for success in this rapidly evolving field. Whether you're a seasoned product manager or new to AI, this course will give you the tools to create innovative, responsible, and impactful agentic products.",Course,2025-07-24 14:15 UTC,N/A,false,N/A,
Improving Your Conflict Competence,"Workplace conflict is inevitable. But it doesn't have to end badly. In this course, author and conflict expert Craig Runde helps you manage workplace conflict more effectively. He first explains the dynamics that create conflict, and helps you become aware of what your conflict response is. Once you are aware of how conflict arises, learn some practical steps you can take to manage your emotions and engage with others constructively.",Course,2025-02-06 21:18 UTC,N/A,false,N/A,
"Cleaning, Transforming and Prepping Your Data With Tableau Prep","Very rarely is data perfectly ready for visualization. Tableau Prep is a visual data preparation tool that allows you to get to data analysis faster by enabling the quick cleaning, reshaping, and prepping of data—using the same drag-and-drop paradigm as Tableau Desktop. This course shows exactly how to use Tableau Prep for data preparation. Instructor Matt Francis show how to connect to multiple data sources and combine them into a single source of data using joins and unions. Then learn how to filter, split, and rename data and how to pivot data to convert wide data into the tall data that Tableau Desktop prefers. Matt also shows how to sample data, adjust sampling size, and preview and share your final output with Tableau Desktop. The training wraps up with some example flows that show Tableau Prep in action. By the end of the course, you will have learned the skills to make Tableau Prep an essential part of your Tableau data viz process.",Course,2021-02-10 18:01 UTC,N/A,false,N/A,
Nano Tips for Landing Your Dream Internship with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, gather insights and practical strategies for landing your dream internship, with tips from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Get pointers from Sho on how to set yourself up for success as you navigate the early moves of your career and pursue your first job opportunities. Explore the best websites to find internships, how to craft your resume, build out your LinkedIn profile, and create your network. Along the way, Sho shows you why internships are so important to your career development, offering advice on how to choose what’s best for you and the right way to build relationships. By the end of this course, you’ll also be equipped with critical new skills for negotiating your salary and securing a full-time role after you graduate.</p>",Course,2025-10-25 14:10 UTC,N/A,false,N/A,
How to Stop Wasting Time in Meetings,"Does anyone love meetings? Let's face it—meetings have a bad reputation, and we probably all know why. They can waste time, add confusion, and lack clear takeaways. The good news is that they don't have to be this way. In this course taught by creativity-productivity expert Samantha Bennett, Sam explains the various ways in which you can make meetings more impactful. She walks through how you can set a clear meeting purpose based on the stakeholders and the type of meeting, and how to get aligned on a direction and ensure all voices and perspectives are heard. She also imparts her rules for effective meetings, how to follow up, and how to hold folks accountable after your meeting. If you take the time to watch this course, you might just find yourself making more of your time in your next meeting.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-10-26 17:57 UTC,N/A,false,N/A,
Nano Tips to Think Faster and Make Better Decisions with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to think faster and make better decisions with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Gather insights to start building a stronger, more effective decision-making foundation—simplifying more complex decisions, maximizing willpower, optimizing your schedule, and preparing for decisions before you even make them. Learn how to deploy a handful of easy-to-use strategies to create a more empowering decision-making experience, such as delaying your response, using a decision matrix, avoiding flawed conclusions, and more. Along the way, Shadé shows you how to prevent framing bias, apply critical thinking to make more informed judgments, and prioritize what matters most.</p>",Course,2023-12-17 15:59 UTC,N/A,false,N/A,
Nano Tips for Powerful Leadership Storytelling with Christina Blacken,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In a rapidly changing world, storytelling is the ultimate tool to capture hearts and minds. In this course, Christina Blacken, Founder and Chief Narrative Strategist at <a href=""https://www.thenewquo.com/"" target=""_blank"">The New Quo</a>, shows you ways to build deeper trust and influence as a leader through the power of storytelling. Learn about the neuroscience of storytelling and the leadership stories we need to let go of to inspire others to action. Overcome negativity bias, discover your unique theory of change as a leader, and diversify the stories you consume to improve your storytelling skills. Explore how to ask the right questions to understand others' stories and develop your Narrative Intelligence, which is using stories to change behavior. Learn how to tell stories that get people to care and ways to tell better stories to set better goals. Discover how to increase your impact as a leader through the power of story.",Course,2025-09-17 13:05 UTC,N/A,false,N/A,
"Copilot for Microsoft 365: Boosting Productivity in Excel, Word, PowerPoint, Outlook, and Teams","Learn best practices to use Copilot across the Microsoft 365 ecosystem in this comprehensive course. Microsoft MVP Deb Ashby shows you how to get the most out of Copilot across all the apps you use every day, including Excel, PowerPoint, Word, and Outlook. Deb starts with a primer on Copilot versions, before turning to how to format, filter, and analyze data in Excel. Find out how to create PowerPoint presentations from scratch, and modify and organize existing presentations, as well as draft, edit, and summarize documents in Word. Deb covers how to maximize your productivity in Outlook, showing you how to draft messages, summarize long threads, and write better emails with Copilot's coaching feature. By the end of this course, you’ll be equipped with practical tips for using Copilot across other popular M365 apps such as Teams, Whiteboard, OneNote, and Loop.",Course,2025-05-21 15:54 UTC,N/A,false,N/A,
Tips to Enhance Emotional Intelligence with Calming Exercises,"Our internal state dictates the way that we show up and interact with the world around us. This includes managing not only feelings of excitement but also moments of stress and overwhelm. In this course, mental health and well-being expert Nidhi Tewari outlines a series of exercises that can help you identify and regulate your emotions in order to manage stress, increase your emotional intelligence, and boost your capacity to interact with others with self-awareness. Nidhi guides you through techniques such as fine-tuning neuroception and interoception, identifying and interrupting emotional triggers, using 4-7-8 breathing to manage strong emotions, and leveraging the relationship between emotions, thoughts, and actions. By the end of this course, you’ll have developed greater self-awareness to recognize signs of stress long before they overwhelm you.",Course,2025-02-28 14:44 UTC,N/A,false,N/A,
Skills-First Talent Management,"<p>Managing talent with the skills-first approach can help to unlock your team’s hidden potential. It allows you to identify, develop, and align employee skills with company goals to retain top talent and increase productivity and performance. In this course, instructor Tiffany Poeppelman gives you skills-first approaches to tackling team design, selection, performance management, and talent development.</p><p>Learn how to harness the power of skills-first to cultivate a thriving team that's always ready for what's next. Get tips to help employees develop their skills and pinpoint opportunities for growth and improvement, as Tiffany shows you the benefits of developing a robust, fluid, and inclusive skills-first team environment. By the end of this course, you’ll be ready to take action and prepare for the future on your skills-first journey.</p>",Course,2025-03-25 17:56 UTC,N/A,false,N/A,
Nano Tips for Using AI for Brand Storytelling with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips on how to use AI tools for inspiration, productivity, and identifying with your audience as a storyteller. Learn about the human-AI creative balance, ethical AI storytelling pitfalls to avoid, crafting better AI prompts, and more.",Course,2025-01-25 08:46 UTC,N/A,false,N/A,
Trauma-Informed Design,"<p>If you want to upskill as a designer, you can’t overlook the importance of a trauma-informed approach. It can improve your design efforts and deliver more caring and less harmful digital experiences. In this course, you'll learn how the six trauma-informed principles can help you design more positive and supportive experiences for everyone. These ideas apply to websites, apps, online forms, and beyond.</p><p>Learn the fundamentals of trauma, including its pervasiveness, types, impacts, and warning signs. Discover practical ways to design products and services like online forms and research protocols that care for users, participants, and designers. Join instructors and researchers Melissa Eggleston and Carol Scott as they show you what it takes to become more trauma-informed. By the end of this course, you’ll have foundational ideas to improve your design efforts and create more equitable, ethical, and welcoming experiences for all.</p>",Course,2025-03-04 09:11 UTC,N/A,false,N/A,
Learning Infographic Design,"<p>To create a truly successful infographic, you must understand the power of visual communication. Properly executed visuals can connect with an audience faster than any other form of communication. In this course, Amy Balliett, CEO and Founder of Killer Visual Strategies, shows you how to create engaging and successful infographics that stand out from the crowd. Amy shows you how to dissect a bad infographic, to learn what not to do. She shows you how visual communication shines through, even in infographics that aren’t in your native language, then goes over how to leverage visual cues and hooks. Amy introduces the five Ws that you need to identify when designing your infographic and explains why it’s so important to research before design even starts. She walks you through each step of wireframing your infographic and concludes with putting the full design together in Adobe Illustrator.
</p><p>Note: This course was created by Killer Visual Strategies, a Material Company. We are pleased to host this training in our library.</p>",Course,2025-04-11 22:33 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch continues to evolve. In this course, Garrick Chow explores the features and capabilities of the latest Apple Watch OS, including Siri, the updated interface, and bundled app capabilities. Learn how to manage your Watch, including the haptic alert system, theater mode, and more. Discover ways you can communicate using your Apple Watch, as well as ways to view and work with apps. Get useful tips on using Siri, and learn about the variety of health and safety features that your Watch offers. Plus, find out how to take a screenshot, find your iPhone, force quit apps, and more.",Course,2024-06-27 12:17 UTC,N/A,false,N/A,
Adobe Animate CC New Features,"Adobe Animate is the focused animation software that takes all the best tools from Flash Professional and bundles them with the Creative Cloud. In this course, learn about the features and enhancements in the latest releases of Adobe Animate by following along with expert Joseph Labrecque.<br><br>Explore the modern user interface, advanced Onion Skin settings, and GPU-accelerated vector brushes such as Fluid Brush. Learn about enhanced animation tooling, including Frame Picker enhancements and ease presets for classic and shape tweens. Get the latest on interactivity enhancements, including global JavaScript declarations, the ability to include references to external JavaScript libraries, and new properties for HTML5 Canvas video components.",Course,2025-02-22 06:17 UTC,N/A,false,N/A,
LinkedIn Recruiter: AI-Powered Talent Acquisition,"<p>Unleash the power of AI in LinkedIn Recruiter and hone the skills you need to harness cutting-edge artificial intelligence features for more efficient and effective recruiting.
This short course explores the latest AI capabilities within LinkedIn Recruiter, empowering talent acquisition professionals to utilize artificial intelligence for more efficient and effective recruiting. From AI-assisted searches to optimizing communications and managing projects, learn how to leverage the full potential of AI-driven features in LinkedIn Recruiter to streamline your hiring process and find the best candidates.</p><p>The AI features in LinkedIn Recruiter are designed with fairness measures and privacy safeguards, using structured search parameters that don't enable filtering by protected characteristics. For detailed information about AI compliance, data usage, and privacy policies, please refer to the <a href=""https://www.linkedin.com/help/recruiter/answer/a1660341"" target=""_blank"">AI-Assisted Search and Projects in Recruiter FAQ</a> page.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/linkedin-recruiter-and-ai-driven-talent-acquisition-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-05-09 12:41 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-12-08 19:19 UTC,N/A,false,N/A,
Nano Tips for Saying No at Work with Melody Wilding,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join professor, author, and executive coach Melody Wilding as she shares practical strategies and scripts for setting boundaries at work respectfully—and without feeling guilty. Melody offers tips for pushing back on unrealistic deadlines, declining meetings, and more. Learn how to pose questions to assess the urgency of requests, leverage the conditional yes technique, use the trade-off approach, present a positive no, defer requests, respond to pushback, and say no even if you work in an always-on environment. By the end of this course, you’ll also be prepared to avoid common mistakes such as overexplaining and undermining yourself when setting limits.",Course,2025-12-12 06:06 UTC,N/A,false,N/A,
Nano Tips to Ditch Self-Doubt with Shade Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to overcome self-doubt and leverage a growth mindset, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Discover strategies to manage self-doubt as a sign of progress, build confidence, and visualize outcomes while preparing for complex challenges. Learn to embrace discomfort for growth, counteract anxiety with intentional actions, and focus on personal progress by letting go of perfection. Along the way, Shadé shares techniques to help you control your mental narrative, identify self-doubt, and build empathy and self-compassion by focusing on positive traits in others.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-07-27 10:56 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-03-07 03:00 UTC,N/A,false,N/A,
Sustainable Development and Well-Being,"<p>Did you know that you can incorporate the Sustainable Development Goals (SDG) framework into your daily life? This course shows you how. Explore the three basic objectives of sustainable development—economic prosperity, social fairness, and environmental sustainability—and why sustainable development matters to our happiness and well-being.</p>
 
<p>This course was created by SDG Academy. We are pleased to host this training in our library.</p>",Course,2025-11-26 13:16 UTC,N/A,false,N/A,
Agentic AI Business Strategy: A Conversation with Charlene Li,"In the fast-evolving world of AI, autonomous agents are reshaping business innovation, decision-making, and leadership. In this interview-driven course, AI thought leader  Charlene Li explores the world of agentic AI—AI agents capable of autonomous, adaptive actions. Gain insights into implementing AI solutions aligned with strategic goals, overcoming challenges like executive hesitation, and building trust. This course is perfect for leaders and business strategists ready to thrive in the age of intelligent agents.",Course,2025-06-22 17:40 UTC,N/A,false,N/A,
Talking About Mental Health as a Leader,"As a leader, you’re responsible to develop and manage your team members–and sometimes that includes connecting with them about their mental health. Until recently, leaders have largely been discouraged from talking to team members about their mental health in the workplace. Avoiding these conversations leads to missed opportunities to support team members, get them connected to the right resources, and strengthen psychological safety and rapport between leaders and direct reports. To be a people leader in today’s workplace means knowing how to have these conversations. In this course, Melissa Doman, MA shows you how to do just that. Join Melissa as she explains how to navigate this terrain, starting with the recognition that people are still afraid to discuss their mental health with their managers at work, and why. Learn the concrete language, triaging considerations, boundaries, and conversational approaches required to have constructive mental health conversations in the workplace.",Course,2025-07-13 03:00 UTC,N/A,false,N/A,
Business Analysis Foundations,"<p>One of the main reasons given for unsuccessful project results is the lack of clear understanding of stakeholder requirements. Business analysis helps to prevent project failure by identifying and validating those requirements early on. Of course, business analysis doesn’t stop with requirements—business analysts also recommend solutions and facilitate their execution. This course provides an introduction to the foundations of business analysis. It helps demystify the role of the business analyst (BA), and outlines the knowledge and skills required to build a successful BA career. Instructor Greta Blash also provides an in-depth review of the business analysis process, from conducting a needs assessment and identifying stakeholders to testing, validation, and release. Each lesson demonstrates why business analysis works—and how you can use it to improve your organization. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,N/A,N/A,true,N/A,
The Unspoken Rules of High Performers and High Potentials,"What separates top performers from the rest? Why do some get ahead, while others struggle? In this audio-only course, Gorick Ng unravels the mystery by highlighting three critical work expectations that managers rarely express.

Gorick Ng is a career advisor at Harvard College and author of the bestselling book The Unspoken Rules: Secrets to Starting Your Career Off Right. Gorick argues that managers ask themselves whether you demonstrate the “three Cs”: 
<ul><li>Are you competent?</li>
<li>Are you committed?</li>
<li>Are you compatible?</li></ul>
<p>Gorick reveals the A+ way to ask for help and the mindset that makes you invaluable. He provides handy scripts for understanding your boss’ priorities and stepping up without overstepping. Finally, Gorick advises on the tricky dance of being a team player without compromising your boundaries.</p>
</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2025-04-05 18:32 UTC,N/A,false,N/A,
Azure AI Engineer Associate (AI-102) Cert Prep: Implement Computer Vision Solutions,"The Microsoft AI-102 certification demonstrates your expertise in designing, developing, and implementing Azure AI solutions. The exam requires that candidates understand Azure services, AI technologies, and data science concepts. This course with instructor Matt Eland is part of a series designed to help you prepare for the Azure AI Engineer Associate (AI-102) exam and focuses on the section that tests your knowledge of the computer vision, custom vision, video indexing, read API, and form recognizer capabilities covered under the computer vision section. Get an overview of computer vision, learn how to use custom image models, and find out how to use Video Indexer to analyze videos.",Course,2025-06-01 00:57 UTC,N/A,false,N/A,
A Playbook to Achieve Equity Anywhere,"""Equity"" is a definable goal, and you can measure your efforts quantitatively and qualitatively measured against it. In this course, DEI strategist and bestselling author Lily Zheng helps you get motivated to take equity-related learning seriously and primes you to think in terms of pragmatism and accountability. Review foundational concepts like equity for healthy workplaces, targeted universalism, and how inequity manifests itself in the workplace. Learn how to assess your outcomes, uncover the why behind equity gaps, and prepare for change-making efforts. Explore effective ways to intervene intentionally. Plus, find out how to measure the impact of your equity efforts, celebrate progress, and continue your forward momentum.",Course,2025-03-20 12:57 UTC,N/A,false,N/A,
How to Be Both Assertive and Likable,"<p>Managing the inherent tension between the friendliness that encourages rapport and the assertiveness that is required to be effective can be tricky. In this course, adapted from the American Negotiation Institute podcast <em>Negotiate Anything</em>, Kwame Christian discusses with Hamilton Chan how to build rapport, stand your ground, and manage the flow of information. Hamilton is the head of executive education and visiting professor of business and technology at Loyola Law School, Los Angeles and CEO of Coaching for Startups LLC. He explains why rapport is so powerful and provides tips to stay strong at the negotiation table. Plus, learn why it’s so important to understand your options before you start difficult conversations. </p><p>This course was created by the American Negotiation Institute. We are pleased to offer this training in our library. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2022-07-10 18:30 UTC,N/A,false,N/A,
Learning Ansible,"Ansible is a popular open-source tool that provides automation, configuration management, and orchestration all in one. In this course, instructor Greg Sowell introduces Ansible and explains the many reasons that system administrators and DevOps engineers choose to keep Ansible in their IT tool kit. Learn how to install Ansible in different environments and work with hosts, variables, inventories, and playbooks. Practice your new deployment and playbook writing skills with the exercise challenges at the end of each section. Along the way, Greg reviews various use cases and practical examples to highlight how Ansible can solve a variety of real-world problems more effectively and efficiently.",Course,2025-01-16 09:45 UTC,N/A,false,N/A,
